rank,name,season,POS,GP,MIN,PTS,FGM,FGA,FG%,3_PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
243,Kevin OllieIND/CHI,2001-2002,PG,81,21.3,5.7,1.7,4.4,38.8,0,0,50,2.3,2.8,82.4,2.3,3.6,0.8,0,1.3,1,0,0
244,Jeff FosterIND,2001-2002,PF,82,21.8,5.7,2.2,4.8,44.9,0,0.2,13.3,1.4,2.2,61,6.8,0.9,0.9,0.5,1,8,0,0
245,Tracy MurrayTOR,2001-2002,SF,40,11.8,5.7,2.1,5.2,41.1,1,2.6,38.5,0.4,0.5,81,1.3,0.5,0.3,0.2,0.6,0,0,0
246,Tariq Abdul-WahadDAL/DEN,2001-2002,SF,24,18.4,5.6,2.3,6.1,37.4,0,0.1,50,1,1.4,72.7,3.5,1,0.8,0.4,1.1,0,0,0
247,ZhiZhi WangDAL,2001-2002,C,55,10.9,5.6,2,4.5,44,0.9,2.1,41.4,0.8,1,73.7,2,0.4,0.2,0.3,0.5,0,0,0
248,Terry PorterSA,2001-2002,G,72,18,5.5,1.9,4.5,42.4,0.8,2,41.5,0.9,1.2,81.9,2.3,2.8,0.6,0.2,1.2,0,0,0
249,Tony MassenburgMEM,2001-2002,PF,73,17.1,5.5,2.2,4.8,45.6,0,0,100,1.2,1.6,71.8,4.4,0.4,0.4,0.4,0.9,3,0,0
250,Alan HendersonATL,2001-2002,PF,26,16.2,5.5,2.3,4.5,50.9,0,0,100,0.9,1.7,53.3,3.7,0.4,0.4,0.6,0.8,1,0,0
250,Elliot PerryMEM,2001-2002,G,2,24,5.5,2.5,5,50,0,0,0,0.5,1,50,2,3.5,1.5,0,3.5,0,0,0
252,A.J. GuytonCHI,2001-2002,G,45,13.5,5.4,2,5.4,36.1,1,2.7,37.4,0.5,0.6,81.5,1,1.8,0.2,0.2,0.8,0,0,0
253,Jahidi WhiteWSH,2001-2002,C,71,19,5.4,2.1,3.9,53.8,0,0,0,1.2,2.2,53.9,6.3,0.2,0.4,1.1,0.9,6,0,0
254,Jerome JamesSEA,2001-2002,C,56,16.9,5.3,2.4,4.9,49.1,0,0,0,0.5,1.1,50,4.1,0.4,0.4,1.5,1.3,1,0,0
255,Kenny SatterfieldDEN,2001-2002,G,36,15.6,5.3,2,5.5,36.7,0.2,0.8,25.9,1,1.3,78.3,1.4,3,0.9,0,1.5,1,0,0
